price,size,bed_rooms,toilets,house_type,property_legal_document,city,district,ward,street,floors
68000000000.0,176.0,4.0,,Nhà biệt thự,Đã có sổ,Tp Hồ Chí Minh,Quận Tân Bình,Phường 1,Đường Nguyễn Trọng Tuyển,
1150000000.0,39.0,1.0,1.0,,1,Bình Dương,Thành phố Dĩ An,Phường Bình Thắng,Xa Lộ Hà Nội,
3650000000.0,75.0,2.0,2.0,,Sổ hồng riêng,Bình Dương,Thành phố Dĩ An,Phường An Bình,An Bình,
800000000.0,3732.0,,,,Đã có sổ,Đồng Nai,Thành phố Long Khánh,Xã Bảo Quang,Ruộng Tre Xuân Bắc,
18000000000.0,111.0,6.0,6.0,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận 10,Phường 15,tô hien thành,
3800000000.0,70.0,2.0,1.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Bình Dương,Thành phố Dĩ An,Phường Bình An,Đt743A,
5000000000.0,9700.0,,,,Đã có sổ,Đồng Nai,Huyện Định Quán,Xã Ngọc Định,ÂP HÒA TRUNG,
2000000000.0,80.0,2.0,2.0,,Sổ hồng riêng,Bình Dương,Thành phố Thủ Dầu Một,Phường Chánh Nghĩa,"Đường Trần Phú, Phường Chánh Nghĩa, Thủ Dầu Một, Bình Dương",
2000000000.0,150.0,,,,Đã có sổ,Bà Rịa - Vũng Tàu,Huyện Đất Đỏ,Xã Lộc An,Trường Cấp 2,
120000000.0,6300.0,,,,Đã có sổ,Bình Phước,Thành phố Đồng Xoài,Phường Tân Xuân,Dh,
1690000000.0,61.0,2.0,2.0,,1,Bình Định,Thành phố Qui Nhơn,Phường Hải Cảng,"76 Đường Trần Hưng Đạo, Phường Hải Cảng, Quy Nhơn, Bình Định",
3100000000.0,80.0,3.0,3.0,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Huyện Hóc Môn,Xã Tân Xuân,Lê Thị Hà,
4200000000.0,64.0,4.0,3.0,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Thành phố Thủ Đức,Phường Linh Chiểu (Quận Thủ Đức cũ),Võ Văn Ngân,2.0
168000000.0,500.0,,,,Đã có sổ,Đắk Lắk,Huyện Cư M'gar,Xã Ea H'đinh,Liên Xã,
5000000000.0,150.0,,,,Đã có sổ,Bình Dương,Thành phố Dĩ An,Phường Bình An,Quốc lộ 1K,
10800000000.0,3500.0,,,,Đã có sổ,Bà Rịa - Vũng Tàu,Thị xã Phú Mỹ,Xã Châu Pha,Châu Pha Bà Rịa,
1190000000.0,47.0,2.0,2.0,"Nhà ngõ, hẻm",Đã có sổ,Tp Hồ Chí Minh,Quận 12,Phường Thạnh Xuân,Thạnh Xuân 25,1.0
890000000.0,112.0,,,,Đã có sổ,Đồng Nai,Huyện Trảng Bom,Xã Tây Hoà,Tây Hòa 7,
7400000000.0,82.5,2.0,,"Nhà mặt phố, mặt tiền",Đã có sổ,Tp Hồ Chí Minh,Quận 7,Phường Tân Quy,Đường Số 25,2.0
1600000000.0,2600.0,,,,Đã có sổ,Đồng Nai,Huyện Định Quán,Xã La Ngà,Quốc lộ 20,
1250000000.0,33.0,1.0,1.0,,Sổ hồng riêng,Bình Dương,Thành phố Thuận An,Phường Thuận Giao,Thuận Giao 25,
