street,ward,district,city,size,property_legal_document,bed_rooms,toilets,floors,price,house_type
Hàng Bè,Kiến Hưng,Hà Đông,Hà Nội,48.2,7,3,1,7,23.0,3
Đa Sỹ,Kiến Hưng,Hà Đông,Hà Nội,32.4,7,3,1,5,715.0,3
Hoàng Văn Thái,Khương Mai,Thanh Xuân,Hà Nội,87.7,7,3,3,8,29.0,3
Đa Sỹ,Kiến Hưng,Hà Đông,Hà Nội,31.9,7,3,1,6,68.0,3
Gia Quất,Thượng Thanh,Long Biên,Hà Nội,54.0,7,3,3,5,182.0,3
Trường Lâm,Đức Giang,Long Biên,Hà Nội,120.0,7,3,3,1,216.0,3
Việt Hưng,Việt Hưng,Long Biên,Hà Nội,60.6,7,3,3,6,5212.0,3
Kim Mã,Ngọc Khánh,Ba Đình,Hà Nội,212.7,7,3,3,2,563.0,3
Miếu Đầm,Mễ Trì,Nam Từ Liêm,Hà Nội,36.9,7,3,3,7,14.0,3
Trần Bình,Mai Dịch,Cầu Giấy,Hà Nội,47.5,7,3,3,4,416.0,3
Tam Khương,Kim Liên,Đống Đa,Hà Nội,102.8,7,7,3,4,46.0,3
Đa Sỹ,Kiến Hưng,Hà Đông,Hà Nội,32.0,7,3,1,5,58.0,3
Phương Canh,Xuân Phương,Nam Từ Liêm,Hà Nội,111.3,7,3,3,6,255.0,3
Nguyễn Khang,Yên Hòa,Cầu Giấy,Hà Nội,37.0,7,3,3,3,19.0,3
Trương Định,Tương Mai,Hoàng Mai,Hà Nội,52.6,7,3,5,7,159.0,3
Cầu Giấy,Yên Hòa,Cầu Giấy,Hà Nội,60.36,7,3,3,6,225.0,3
Cầu Noi,Cổ Nhuế 2,Bắc Từ Liêm,Hà Nội,42.0,7,53,3,1,798.0,3
Trần Đại Nghĩa,Trương Định,Hai Bà Trưng,Hà Nội,67.9,7,3,9,6,199.0,3
Phạm Tuấn Tài,Nghĩa Tân,Cầu Giấy,Hà Nội,51.8,7,3,3,7,27.0,3
Chính Kinh,Nhân Chính,Thanh Xuân,Hà Nội,74.5,7,3,3,5,186.0,3
Yên Duyên,Yên Sở,Hoàng Mai,Hà Nội,40.2,7,3,5,4,64.0,3
Nguyễn Văn Cừ,Ngọc Lâm,Long Biên,Hà Nội,103.7,7,3,3,5,168.0,3
Huỳnh Văn Nghệ,Sài Đồng,Long Biên,Hà Nội,55.2,7,3,3,1,188.0,3
Nguyễn Đổng Chi,Cầu Diễn,Nam Từ Liêm,Hà Nội,51.0,7,3,3,7,159.0,3
Mễ Trì Thượng,Mễ Trì,Nam Từ Liêm,Hà Nội,41.7,7,3,3,6,145.0,3
Nguyễn Văn Cừ,Gia Thụy,Long Biên,Hà Nội,77.0,7,3,3,7,293.0,3
Bồ Đề,Bồ Đề,Long Biên,Hà Nội,96.0,7,3,3,2,24.0,3
Kim Ngưu,Thanh Lương,Hai Bà Trưng,Hà Nội,55.0,7,3,9,5,127.0,3
Khâm Thiên,Phương Liên,Đống Đa,Hà Nội,90.8,7,7,3,7,225.0,3
Minh Khai,Thanh Lương,Hai Bà Trưng,Hà Nội,44.7,7,3,9,5,105.0,3
Bằng Liệt,Hoàng Liệt,Hoàng Mai,Hà Nội,52.5,7,3,5,1,5105.0,3
Thái Thịnh,Láng Hạ,Đống Đa,Hà Nội,61.7,7,7,3,7,3228.0,3
Xuân Đỉnh,Xuân Đỉnh,Bắc Từ Liêm,Hà Nội,31.0,7,53,3,6,87.0,3
Kim Giang,Định Công,Hoàng Mai,Hà Nội,94.5,7,3,5,6,25.0,3
Nguyễn Đạo An,Phú Diễn,Bắc Từ Liêm,Hà Nội,107.0,7,53,3,1,79.0,3
Cầu Giấy,Quan Hoa,Cầu Giấy,Hà Nội,136.0,7,3,3,2,365.0,3
Phú Mỹ,Mỹ Đình 2,Nam Từ Liêm,Hà Nội,46.8,7,3,3,8,17.0,3
Phùng Khoang,Trung Văn,Nam Từ Liêm,Hà Nội,30.0,7,3,3,6,87.0,3
Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,Hà Nội,33.0,7,3,3,7,125.0,3
Bồ Đề,Bồ Đề,Long Biên,Hà Nội,70.2,7,3,3,2,175.0,3
Trần Quý Cáp,Văn Chương,Đống Đa,Hà Nội,35.6,7,7,3,6,113.0,3
Bạch Mai,Cầu Dền,Hai Bà Trưng,Hà Nội,31.9,7,3,9,1,79.0,3
Lê Quang Đạo,Phú Đô,Nam Từ Liêm,Hà Nội,77.6,7,3,3,4,178.0,3
Kim Ngưu,Vĩnh Tuy,Hai Bà Trưng,Hà Nội,21.2,7,3,9,4,59.0,3
Giáp Nhị,Hoàng Liệt,Hoàng Mai,Hà Nội,40.0,7,3,5,4,855.0,3
Đặng Tiến Đông,Trung Liệt,Đống Đa,Hà Nội,48.2,7,7,3,5,165.0,3
Khâm Thiên,Khâm Thiên,Đống Đa,Hà Nội,73.4,7,7,3,7,31.0,3
Thành Công,Thành Công,Ba Đình,Hà Nội,27.7,7,3,3,4,78.0,3
Khâm Thiên,Thổ Quan,Đống Đa,Hà Nội,51.9,7,7,3,1,545.0,3
Đội Cấn,Liễu Giai,Ba Đình,Hà Nội,26.4,7,3,3,5,84.0,3
Minh Khai,Hoàng Văn Thụ,Hoàng Mai,Hà Nội,30.0,7,3,5,5,775.0,3
Khương Hạ,Khương Đình,Thanh Xuân,Hà Nội,36.5,7,3,3,5,692.0,3
Nguyễn Văn Cừ,Ngọc Lâm,Long Biên,Hà Nội,50.3,7,3,3,7,215.0,3
Khâm Thiên,Trung Phụng,Đống Đa,Hà Nội,44.5,7,7,3,4,795.0,3
Bùi Xương Trạch,Khương Đình,Thanh Xuân,Hà Nội,30.0,7,3,3,4,5878.0,3
Hoàng Quốc Việt,Nghĩa Đô,Cầu Giấy,Hà Nội,60.0,7,3,3,6,275.0,3
Chính Kinh,Nhân Chính,Thanh Xuân,Hà Nội,30.0,7,3,3,5,86.0,3
Tây Mỗ,Tây Mỗ,Nam Từ Liêm,Hà Nội,100.0,7,3,3,7,84262.0,3
Ông Ích Khiêm,Điện Biên,Ba Đình,Hà Nội,38.01,7,3,3,3,159.0,3
Long Biên 1,Ngọc Lâm,Long Biên,Hà Nội,75.0,7,3,3,7,183.0,3
Khương Trung,Khương Đình,Thanh Xuân,Hà Nội,36.4,7,3,3,5,98.0,3
Tứ Liên,Tứ Liên,Tây Hồ,Hà Nội,41.1,7,3,3,3,138.0,3
Vũ Xuân Thiều,Sài Đồng,Long Biên,Hà Nội,35.9,7,3,3,5,74.0,3
Khuyến Lương,Trần Phú,Hoàng Mai,Hà Nội,36.0,7,3,5,7,82.0,3
Việt Hưng,Việt Hưng,Long Biên,Hà Nội,94.6,7,3,3,5,215.0,3
Tân Mai,Thịnh Liệt,Hoàng Mai,Hà Nội,71.0,7,3,5,6,201239.0,3
Hồ Tùng Mậu,Cầu Diễn,Nam Từ Liêm,Hà Nội,45.2,7,3,3,4,91.0,3
Đê Trần Khát Chân,Thanh Lương,Hai Bà Trưng,Hà Nội,29.6,7,3,9,4,685.0,3
Xuân Đỉnh,Xuân Đỉnh,Bắc Từ Liêm,Hà Nội,127.0,7,53,3,8,40.0,3
Mỹ Đình,Mỹ Đình 1,Nam Từ Liêm,Hà Nội,47.0,7,3,3,1,168.0,3
Phùng Chí Kiên,Nghĩa Đô,Cầu Giấy,Hà Nội,50.1,7,3,3,7,265.0,3
Khâm Thiên,Khâm Thiên,Đống Đa,Hà Nội,40.3,7,7,3,1,18.0,3
Khuyến Lương,Trần Phú,Hoàng Mai,Hà Nội,32.8,7,3,5,5,64.0,3
Nam Đuống,Việt Hưng,Long Biên,Hà Nội,32.1,7,3,3,5,65.0,3
Bát Khối,Long Biên,Long Biên,Hà Nội,42.1,7,3,3,4,99.0,3
Nguyên Xá,Tây Tựu,Bắc Từ Liêm,Hà Nội,30.0,7,53,3,5,764.0,3
Bồ Đề,Bồ Đề,Long Biên,Hà Nội,60.8,7,3,3,6,14138.0,3
Nguyễn Chí Thanh,Láng Hạ,Đống Đa,Hà Nội,40.6,7,7,3,6,26.0,3
Lê Quang Đạo,Phú Đô,Nam Từ Liêm,Hà Nội,76.3,7,3,3,7,225.0,3
Đình Thôn,Mỹ Đình 1,Nam Từ Liêm,Hà Nội,30.0,7,3,3,5,92.0,3
Tứ Liên,Tứ Liên,Tây Hồ,Hà Nội,75.0,7,3,3,5,20.0,3
Hoàng Hoa Thám,Ngọc Hà,Ba Đình,Hà Nội,36.5,7,3,3,4,179.0,3
Nguyễn Đạo An,Phú Diễn,Bắc Từ Liêm,Hà Nội,61.0,7,53,3,7,145.0,3
Phúc Xá,Phúc Xá,Ba Đình,Hà Nội,43.5,7,3,3,3,132.0,3
La Thành,Giảng Võ,Ba Đình,Hà Nội,39.8,7,3,3,1,88.0,3
Phúc Diễn,Phúc Diễn,Bắc Từ Liêm,Hà Nội,50.6,7,53,3,5,129.0,3
Việt Hưng,Giang Biên,Long Biên,Hà Nội,120.0,7,3,3,5,45.0,3
Ngọc Hà,Ngọc Hà,Ba Đình,Hà Nội,73.5,7,3,3,5,189.0,3
La Thành,Ô Chợ Dừa,Đống Đa,Hà Nội,30.6,7,7,3,4,75.0,3
Quan Hoa,Quan Hoa,Cầu Giấy,Hà Nội,61.2,7,3,3,5,145.0,3
Mỹ Đình,Mỹ Đình 1,Nam Từ Liêm,Hà Nội,59.0,7,3,3,9,175.0,3
Phú Mỹ,Mỹ Đình 2,Nam Từ Liêm,Hà Nội,62.3,7,3,3,6,162.0,3
Đình Thôn,Mỹ Đình 1,Nam Từ Liêm,Hà Nội,35.2,7,3,3,4,145.0,3
Đức Diễn,Phúc Diễn,Bắc Từ Liêm,Hà Nội,57.0,7,53,3,7,7139.0,3
Mỹ Đình,Mỹ Đình 1,Nam Từ Liêm,Hà Nội,50.0,7,3,3,5,117.0,3
Yên Lộ,Yên Nghĩa,Hà Đông,Hà Nội,30.8,7,3,1,5,589.0,3
Foresa 8A,Xuân Phương,Nam Từ Liêm,Hà Nội,90.0,7,3,3,4,4215.0,3
Xuân La,Xuân La,Tây Hồ,Hà Nội,65.0,7,3,3,5,186.0,3
Khương Hạ,Khương Đình,Thanh Xuân,Hà Nội,30.0,7,3,3,5,765.0,3
Hoàng Văn Thái,Khương Trung,Thanh Xuân,Hà Nội,72.6,7,3,3,7,31.0,3
Khương Hạ,Khương Đình,Thanh Xuân,Hà Nội,33.8,7,3,3,5,104.0,3
Ngọc Thụy,Ngọc Thụy,Long Biên,Hà Nội,51.3,7,3,3,6,6155.0,3
Tân Mai,Tân Mai,Hoàng Mai,Hà Nội,39.6,7,3,5,1,375.0,3
Khương Hạ,Khương Đình,Thanh Xuân,Hà Nội,51.0,7,3,3,4,115.0,3
Khương Trung,Khương Trung,Thanh Xuân,Hà Nội,41.4,7,3,3,5,93129.0,3
Nguyễn An Ninh,Tương Mai,Hoàng Mai,Hà Nội,49.5,7,3,5,6,198.0,3
Ái Mộ,Bồ Đề,Long Biên,Hà Nội,60.4,7,3,3,7,333.0,3
Ái Mộ,Bồ Đề,Long Biên,Hà Nội,60.3,7,3,3,7,333.0,3
Xuân Phương,Phương Canh,Nam Từ Liêm,Hà Nội,47.3,7,3,3,7,148.0,3
Phú Diễn,Phú Diễn,Bắc Từ Liêm,Hà Nội,63.2,7,53,3,4,148.0,3
Lê Quang Đạo,Mễ Trì,Nam Từ Liêm,Hà Nội,71.0,7,3,3,4,183.0,3
Đỗ Ngọc Du,Đồng Nhân,Hai Bà Trưng,Hà Nội,43.7,7,3,9,6,109.0,3
Hồng Mai,Quỳnh Lôi,Hai Bà Trưng,Hà Nội,52.3,7,3,9,4,18.0,3
Vạn Phúc,Vạn Phúc,Hà Đông,Hà Nội,48.0,7,3,1,7,198.0,3
Cự Lộc,Thượng Đình,Thanh Xuân,Hà Nội,57.0,7,3,3,4,91.0,3
Chính Kinh,Nhân Chính,Thanh Xuân,Hà Nội,32.1,7,3,3,6,102.0,3
Giải Phóng,Hoàng Liệt,Hoàng Mai,Hà Nội,69.0,7,3,5,5,145.0,3
Xuân Phương,Phương Canh,Nam Từ Liêm,Hà Nội,42.0,7,3,3,7,56115.0,3
