street,ward,district,city,size,property_legal_document,bed_rooms,toilets,floors,price,house_type
Ông Ích Khiêm,Vĩnh Trung,Thanh Khê,Đà Nẵng,55.0,7,3,2,2,2.549,3
Điện Biên Phủ,Chính Gián,Thanh Khê,Đà Nẵng,48.0,7,2,2,2,2.1,3
Trưng Nữ Vương,Hải Châu 1,Hải Châu,Đà Nẵng,50.0,7,2,2,2,1.95,3
Phần Lăng 7,Hòa Khê,Thanh Khê,Đà Nẵng,65.0,7,3,3,3,3.15,3
Phạm Nhữ Tăng,Hòa Khê,Thanh Khê,Đà Nẵng,62.0,7,3,3,3,3.6,3
Cách Mạng Tháng 8,Hòa Thọ Đông,Cẩm Lệ,Đà Nẵng,70.0,7,3,2,2,2.65,3
Hà Huy Tập,An Khê,Thanh Khê,Đà Nẵng,55.0,7,2,2,3,2.48,3
Hoàng Văn Thái,Hòa Khánh Nam,Liên Chiểu,Đà Nẵng,50.0,7,3,2,2,2.349,3
Hoàng Diệu,Bình Hiên,Hải Châu,Đà Nẵng,58.0,1,3,3,2,2.85,3
Nguyễn Hữu Thọ,Hòa Thuận Tây,Hải Châu,Đà Nẵng,92.0,1,6,6,3,5.5,3
Nguyễn Hữu Thọ,Hòa Cường Bắc,Hải Châu,Đà Nẵng,94.0,1,3,3,3,4.95,3
Nguyễn Hữu Thọ,Hòa Thuận Tây,Hải Châu,Đà Nẵng,132.0,1,4,4,3,4.5,3
Lê Đình Lý,Vĩnh Trung,Thanh Khê,Đà Nẵng,112.0,1,3,3,2,5.3,3
Tiểu La,Hòa Cường Bắc,Hải Châu,Đà Nẵng,62.0,1,3,3,3,3.58,3
Nguyễn Hữu Thọ,Hòa Thuận Tây,Hải Châu,Đà Nẵng,84.0,1,3,3,3,4.3,3
Trưng Nữ Vương,Hòa Thuận Tây,Hải Châu,Đà Nẵng,56.0,1,1,1,3,2.7,3
Nguyễn Hữu Thọ,Hòa Thuận Tây,Hải Châu,Đà Nẵng,90.0,1,5,3,3,2.8,3
Võ Chí Công,Hòa Quý,Ngũ Hành Sơn,Đà Nẵng,120.0,1,2,2,2,3.03,3
Trưng Nữ Vương,Hòa Thuận Đông,Hải Châu,Đà Nẵng,90.0,1,2,2,2,3.8,3
Hải Phòng,Thạch Thang,Hải Châu,Đà Nẵng,58.0,1,3,3,2,3.05,3
Nguyễn Tất Thành,Thanh Bình,Hải Châu,Đà Nẵng,54.0,1,3,3,3,3.98,3
Đinh Tiên Hoàng,Thanh Bình,Hải Châu,Đà Nẵng,90.0,1,3,3,3,3.45,3
Đống Đa,Thanh Bình,Hải Châu,Đà Nẵng,56.0,1,3,3,3,3.5,3
Nguyễn Tất Thành,Thanh Bình,Hải Châu,Đà Nẵng,62.0,1,2,2,2,3.69,3
Nguyễn Du,Thạch Thang,Hải Châu,Đà Nẵng,68.0,1,4,4,4,6.3,3
Nguyễn Văn Linh,Phước Ninh,Hải Châu,Đà Nẵng,78.0,1,4,4,2,3.5,3
Lê Thanh Nghị,Hòa Cường Nam,Hải Châu,Đà Nẵng,74.0,1,3,3,3,3.75,3
Hoàng Diệu,Bình Thuận,Hải Châu,Đà Nẵng,70.0,1,3,4,3,4.55,3
3 Tháng 2,Thuận Phước,Hải Châu,Đà Nẵng,64.0,1,3,2,3,2.45,3
Trưng Nữ Vương,Hòa Thuận Tây,Hải Châu,Đà Nẵng,91.0,1,5,5,3,2.8,3
Ông Ích Khiêm,Nam Dương,Hải Châu,Đà Nẵng,60.0,1,3,3,3,2.55,3
Lê Đình Lý,Hòa Thuận Đông,Hải Châu,Đà Nẵng,56.0,1,3,2,3,3.7,3
Hoàng Diệu,Bình Thuận,Hải Châu,Đà Nẵng,35.0,1,2,2,2,1.85,3
Núi Thành,Hòa Cường Bắc,Hải Châu,Đà Nẵng,48.0,1,3,2,2,2.7,3
Núi Thành,Hòa Cường Bắc,Hải Châu,Đà Nẵng,58.0,1,3,3,2,2.95,3
2 Tháng 9,Hòa Cường Nam,Hải Châu,Đà Nẵng,80.0,1,3,2,4,3.2,3
Ông Ích Khiêm,Nam Dương,Hải Châu,Đà Nẵng,58.0,1,3,3,3,3.4,3
Nguyễn Hữu Thọ,Hòa Cường Bắc,Hải Châu,Đà Nẵng,88.0,1,3,3,3,4.85,3
Lê Đại Hành,Khuê Trung,Cẩm Lệ,Đà Nẵng,122.0,1,3,3,2,3.75,3
Hải Châu,Bình Thuận,Hải Châu,Đà Nẵng,64.0,1,3,2,2,3.0,3
Phan Đăng Lưu,Hòa Cường Nam,Hải Châu,Đà Nẵng,96.0,1,14,14,3,4.0,3
Chu Huy Mân,Thọ Quang,Sơn Trà,Đà Nẵng,100.0,1,2,2,2,2.7,3
Chế Lan Viên,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,60.0,1,2,3,2,4.3,3
Huỳnh Ngọc Huệ,An Khê,Thanh Khê,Đà Nẵng,100.0,1,3,3,2,3.8,3
Tiểu La,Hòa Cường Bắc,Hải Châu,Đà Nẵng,60.0,1,4,5,3,3.99,3
Hùng Vương,Vĩnh Trung,Thanh Khê,Đà Nẵng,42.0,1,3,2,2,2.85,3
Lê Thanh Nghị,Hòa Cường Bắc,Hải Châu,Đà Nẵng,69.0,1,3,3,2,3.4,3
Đống Đa,Thuận Phước,Hải Châu,Đà Nẵng,50.0,1,2,2,2,2.6,3
Hà Huy Tập,Hòa Khê,Thanh Khê,Đà Nẵng,61.0,1,3,4,3,3.55,3
Trưng Nữ Vương,Bình Thuận,Hải Châu,Đà Nẵng,65.0,1,2,2,2,2.65,3
Hùng Vương,Vĩnh Trung,Thanh Khê,Đà Nẵng,43.0,1,5,4,5,3.65,3
Trần Cao Vân,Tam Thuận,Thanh Khê,Đà Nẵng,54.0,1,3,3,2,2.89,3
Thái Thị Bôi,Chính Gián,Thanh Khê,Đà Nẵng,50.0,1,3,3,3,3.55,3
Hùng Vương,Vĩnh Trung,Thanh Khê,Đà Nẵng,70.0,1,3,2,2,2.65,3
Phan Thanh,Thạc Gián,Thanh Khê,Đà Nẵng,50.0,1,3,3,3,4.05,3
Văn Cao,Vĩnh Trung,Thanh Khê,Đà Nẵng,48.0,1,4,3,3,3.15,3
Bà Bang Nhãn,Hòa Hải,Ngũ Hành Sơn,Đà Nẵng,80.0,1,5,3,3,3.3,3
Ngô Quyền,Mân Thái,Sơn Trà,Đà Nẵng,43.0,1,2,2,2,1.999,3
Tiểu La,Hòa Cường Bắc,Hải Châu,Đà Nẵng,67.0,1,5,5,2,2.699,3
Tôn Đản,Hòa Phát,Cẩm Lệ,Đà Nẵng,90.0,9,3,3,2,3.79,3
Hải Phòng,Hải Châu 1,Hải Châu,Đà Nẵng,95.2,1,3,4,3,3.9,3
Đông Giang,An Hải Bắc,Sơn Trà,Đà Nẵng,70.0,1,2,2,2,5.3,3
K194 Điện Biên Phủ,Chính Gián,Thanh Khê,Đà Nẵng,56.0,1,3,2,2,2.8,3
Nguyễn Thị Minh Khai,Thạch Thang,Hải Châu,Đà Nẵng,38.5,1,2,2,3,2.49,3
Hoàng Diệu,Bình Thuận,Hải Châu,Đà Nẵng,50.0,1,3,2,4,3.95,3
Trưng Nữ Vương,Hòa Thuận Tây,Hải Châu,Đà Nẵng,48.0,1,3,3,3,3.55,3
Nguyễn Đăng,An Khê,Thanh Khê,Đà Nẵng,52.0,1,2,2,3,2.67,3
Văn Cao,Vĩnh Trung,Thanh Khê,Đà Nẵng,43.0,1,3,3,3,2.49,3
Nguyễn Đình Chiểu,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,115.0,1,3,3,2,2.35,3
Tiểu La,Hòa Cường Bắc,Hải Châu,Đà Nẵng,50.0,1,4,4,4,3.456,3
Nguyễn Đăng,An Khê,Thanh Khê,Đà Nẵng,45.0,1,2,1,3,1.72,3
Hoàng Diệu,Bình Hiên,Hải Châu,Đà Nẵng,40.0,1,2,2,2,2.65,3
Nguyễn Hoàng,Nam Dương,Hải Châu,Đà Nẵng,43.0,1,3,2,2,2.69,3
Trần Cao Vân,Tam Thuận,Thanh Khê,Đà Nẵng,36.0,1,3,3,2,2.09,3
Phạm Nhữ Tăng,Hòa Khê,Thanh Khê,Đà Nẵng,43.0,1,2,2,2,1.919,3
Trần Cao Vân,Xuân Hà,Thanh Khê,Đà Nẵng,54.0,1,3,2,2,2.89,3
Trần Cao Vân,Xuân Hà,Thanh Khê,Đà Nẵng,70.0,1,2,1,2,1.818,3
Hoàng Diệu,Bình Thuận,Hải Châu,Đà Nẵng,65.0,1,3,2,2,2.75,3
Nguyễn Đăng,Hòa Khê,Thanh Khê,Đà Nẵng,45.0,1,2,2,2,1.72,3
Trần Cao Vân,Xuân Hà,Thanh Khê,Đà Nẵng,55.0,1,3,3,3,3.65,3
Bình An 7,Hòa Cường Bắc,Hải Châu,Đà Nẵng,50.0,1,3,3,4,3.38,3
Lê Độ,Chính Gián,Thanh Khê,Đà Nẵng,65.0,1,2,2,2,2.35,3
Cô Giang,Phước Ninh,Hải Châu,Đà Nẵng,35.0,1,3,3,3,2.79,3
Hải Phòng,Chính Gián,Thanh Khê,Đà Nẵng,51.0,1,3,2,2,2.828,3
Cô Giang,Phước Ninh,Hải Châu,Đà Nẵng,40.0,1,3,3,3,2.75,3
Nguyễn Thị Minh Khai,Hải Châu 1,Hải Châu,Đà Nẵng,38.5,1,2,2,2,2.4,3
Tôn Đản,Hòa An,Cẩm Lệ,Đà Nẵng,90.0,1,3,3,2,3.79,3
Hoàng Diệu,Nam Dương,Hải Châu,Đà Nẵng,142.0,1,8,5,2,3.95,3
Nguyễn Công Trứ,An Hải Tây,Sơn Trà,Đà Nẵng,49.0,1,2,2,2,2.35,3
2 Tháng 9,Hòa Cường Nam,Hải Châu,Đà Nẵng,60.0,7,2,1,2,2.45,3
Tô Hiệu,Hòa Minh,Liên Chiểu,Đà Nẵng,60.0,7,3,3,3,3.3,3
Cách Mạng Tháng 8,Hòa Thọ Đông,Cẩm Lệ,Đà Nẵng,77.0,7,3,2,2,2.45,3
Trường Chinh,Hòa Thọ Đông,Cẩm Lệ,Đà Nẵng,95.0,7,2,2,2,2.4,3
Điện Biên Phủ,Thanh Khê Đông,Thanh Khê,Đà Nẵng,150.0,1,3,3,2,5.95,3
Trường Chinh,Hòa Phát,Cẩm Lệ,Đà Nẵng,75.0,1,2,1,2,1.65,3
2 Tháng 9,Hải Châu,Hải Châu,Đà Nẵng,43.0,1,2,2,3,2.0,3
Phạm Cự Lượng,An Hải Đông,Sơn Trà,Đà Nẵng,75.0,1,3,2,2,3.7,3
Phan Bá Phiến,Thọ Quang,Sơn Trà,Đà Nẵng,60.0,1,1,1,2,2.6,3
Quang Châu,Hòa Châu,Hoà Vang,Đà Nẵng,237.0,1,1,1,4,2.4,3
Lê Duẩn,Tân Chính,Thanh Khê,Đà Nẵng,85.0,1,3,3,3,4.05,3
Phạm Văn Đồng,An Hải Đông,Sơn Trà,Đà Nẵng,88.0,1,3,3,3,0.007,3
Nguyễn Văn Linh,Thạc Gián,Thanh Khê,Đà Nẵng,59.0,1,2,1,3,4.2,3
Nguyễn Văn Linh,Nam Dương,Hải Châu,Đà Nẵng,40.0,1,3,3,3,3.2,3
Âu Cơ,Hòa Khánh Bắc,Liên Chiểu,Đà Nẵng,60.0,1,3,2,2,2.099,3
Trường Chinh,Hòa Phát,Cẩm Lệ,Đà Nẵng,240.0,1,2,1,3,3.8,3
Bình An 7,Hải Châu,Hải Châu,Đà Nẵng,50.0,1,3,3,3,3.0,3
Hoàng Diệu,Bình Thuận,Hải Châu,Đà Nẵng,150.0,1,5,7,4,7.69,3
Tôn Đản,Hòa An,Cẩm Lệ,Đà Nẵng,126.0,1,2,1,2,2.0,3
Hoàng Diệu,Bình Thuận,Hải Châu,Đà Nẵng,42.0,1,2,2,2,2.05,3
Đỗ Bá,Mỹ An,Ngũ Hành Sơn,Đà Nẵng,60.0,1,3,3,3,6.05,3
Hoàng Diệu,Bình Hiên,Hải Châu,Đà Nẵng,45.0,1,2,2,2,2.15,3
Hoàng Diệu,Bình Hiên,Hải Châu,Đà Nẵng,30.0,1,2,2,2,1.69,3
Nguyễn Văn Linh,Phước Ninh,Hải Châu,Đà Nẵng,20.0,1,1,1,2,1.33,3
Đà Sơn,Hòa Khánh Nam,Liên Chiểu,Đà Nẵng,74.0,1,2,1,2,1.62,3
Lê Hữu Trác,An Hải Đông,Sơn Trà,Đà Nẵng,83.0,1,3,2,3,4.2,3
Điện Biên Phủ,Tam Thuận,Thanh Khê,Đà Nẵng,70.0,1,3,2,2,3.35,3
Quang Dũng,Vĩnh Trung,Thanh Khê,Đà Nẵng,50.0,1,3,3,2,2.6,3
Cù Chính Lan,Hòa Khê,Thanh Khê,Đà Nẵng,84.5,1,3,3,3,5.75,3
K151 Cù Chính Lan,Hòa Khê,Thanh Khê,Đà Nẵng,84.5,1,3,3,2,5.749,3
Trần Cao Vân,Xuân Hà,Thanh Khê,Đà Nẵng,65.0,1,3,3,3,4.2,3
Lê Duẩn,Tân Chính,Thanh Khê,Đà Nẵng,51.0,1,3,3,2,3.39,3
Ông Ích Khiêm,Thanh Bình,Hải Châu,Đà Nẵng,54.0,1,3,4,3,3.75,3
Trần Cao Vân,Xuân Hà,Thanh Khê,Đà Nẵng,41.0,1,2,2,2,2.19,3
Ngô Gia Tự,Hải Châu 1,Hải Châu,Đà Nẵng,55.0,1,3,4,3,2.9,3
Hà Huy Tập,An Khê,Thanh Khê,Đà Nẵng,137.0,1,4,4,3,5.15,3
Võ Nguyên Giáp,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng,113.0,1,6,5,3,5.4,3
Tiểu La,Hòa Cường Bắc,Hải Châu,Đà Nẵng,88.0,1,5,3,3,3.8,3
Hoàng Hoa Thám,Tân Chính,Thanh Khê,Đà Nẵng,50.0,1,3,4,3,3.7,3
Mai Lão Bạng,Thuận Phước,Hải Châu,Đà Nẵng,50.0,1,3,3,3,3.25,3
Lê Duẩn,Chính Gián,Thanh Khê,Đà Nẵng,79.0,1,2,2,2,3.9,3
Ông Ích Khiêm,Hải Châu 11,Hải Châu,Đà Nẵng,65.6,1,3,2,3,2.99,3
Nguyễn Công Trứ,An Hải Đông,Sơn Trà,Đà Nẵng,100.0,1,2,2,3,4.7,3
Nguyễn Văn Linh,Nam Dương,Hải Châu,Đà Nẵng,31.0,1,2,3,3,1.97,3
Lê Đình Lý,Hòa Thuận Đông,Hải Châu,Đà Nẵng,94.0,1,3,2,2,1.79,3
Nguyễn Tri Phương,Thạc Gián,Thanh Khê,Đà Nẵng,40.0,1,2,2,2,2.45,3
Nguyễn Du,Thạch Thang,Hải Châu,Đà Nẵng,102.0,1,3,3,3,7.5,3
Huỳnh Thúc Kháng,Nam Dương,Hải Châu,Đà Nẵng,120.0,1,2,1,2,3.3,3
Mẹ Suốt,Hòa Khánh Nam,Liên Chiểu,Đà Nẵng,100.0,1,2,1,2,2.3,3
Hoàng Văn Thái,Hòa Khánh Nam,Liên Chiểu,Đà Nẵng,60.0,1,3,3,2,2.3,3
Cách Mạng Tháng 8,Hòa Thọ Đông,Cẩm Lệ,Đà Nẵng,71.0,1,3,2,2,2.4,3
Nguyễn Như Hạnh,Hòa Minh,Liên Chiểu,Đà Nẵng,55.3,1,2,2,2,2.5,3
K141 Tiểu La,Hòa Cường Bắc,Hải Châu,Đà Nẵng,50.0,1,4,4,4,3.85,3
Phạm Văn Nghị,Thạc Gián,Thanh Khê,Đà Nẵng,55.0,1,3,4,3,3.85,3
K78 Lê Thanh Nghị,Hòa Cường Bắc,Hải Châu,Đà Nẵng,68.0,1,3,4,3,3.6,3
K149 Lê Đình Lý,Bình Thuận,Hải Châu,Đà Nẵng,40.0,1,3,3,3,3.75,3
Thanh Thủy,Thanh Bình,Hải Châu,Đà Nẵng,35.0,1,2,2,2,2.99,3
Hùng Vương,Tân Chính,Thanh Khê,Đà Nẵng,43.0,1,5,5,5,3.9,3
K45 Lê Độ,Chính Gián,Thanh Khê,Đà Nẵng,74.0,1,3,2,2,2.99,3
Mai Lão Bạng,Thanh Bình,Hải Châu,Đà Nẵng,50.0,1,3,3,3,3.3,3
Bình Kỳ,Hòa Quý,Ngũ Hành Sơn,Đà Nẵng,225.0,1,2,1,2,2.35,3
Trần Cao Vân,Xuân Hà,Thanh Khê,Đà Nẵng,53.0,1,3,2,2,3.1,3
Trần Cao Vân,Xuân Hà,Thanh Khê,Đà Nẵng,55.0,1,4,4,4,4.29,3
Lê Hữu Trác,An Hải Đông,Sơn Trà,Đà Nẵng,68.0,1,4,2,3,3.9,3
K82 Núi Thành,Hòa Thuận Đông,Hải Châu,Đà Nẵng,53.0,1,4,5,4,4.1,3
Hoàng Diệu,Bình Thuận,Hải Châu,Đà Nẵng,70.0,1,3,4,3,4.5,3
Trường Chinh,An Khê,Thanh Khê,Đà Nẵng,83.0,1,3,3,3,3.9,3
Hải Phòng,Thạc Gián,Thanh Khê,Đà Nẵng,62.0,1,4,4,3,4.55,3
Tô Hiệu,Hòa Minh,Liên Chiểu,Đà Nẵng,60.0,1,3,3,3,3.45,3
Tiểu La,Hòa Cường Nam,Hải Châu,Đà Nẵng,100.0,7,4,4,4,3.9,3
Lương Thế Vinh,An Hải Bắc,Sơn Trà,Đà Nẵng,85.0,1,2,1,3,2.949,3
Lê Đình Lý,Hòa Thuận Đông,Hải Châu,Đà Nẵng,121.0,1,2,1,1,2.8,3
Bình An 1,Hòa Cường Bắc,Hải Châu,Đà Nẵng,70.0,1,1,1,3,2.2,3
Lê Duẩn,Tân Chính,Thanh Khê,Đà Nẵng,50.0,1,2,2,3,2.6,3
Điện Biên Phủ,Chính Gián,Thanh Khê,Đà Nẵng,45.0,1,2,2,2,2.39,3
Tiểu La,Hòa Cường Bắc,Hải Châu,Đà Nẵng,52.0,1,3,3,3,3.8,3
Hải Phòng,Tam Thuận,Thanh Khê,Đà Nẵng,20.5,1,2,1,2,1.4,3
Tôn Đản,Hòa An,Cẩm Lệ,Đà Nẵng,59.0,1,2,1,2,1.6,3
Trần Cao Vân,Tam Thuận,Thanh Khê,Đà Nẵng,45.4,1,2,2,2,1.69,3
Hoàng Diệu,Hòa Thuận Đông,Hải Châu,Đà Nẵng,79.0,1,3,3,3,4.2,3
Điện Biên Phủ,Thanh Khê Đông,Thanh Khê,Đà Nẵng,60.0,1,2,2,3,3.55,3
Hoàng Diệu,Bình Thuận,Hải Châu,Đà Nẵng,118.0,1,4,3,2,3.6,3
Ngô Quyền,An Hải Bắc,Sơn Trà,Đà Nẵng,85.0,1,2,2,2,2.4,3
Ngô Quyền,An Hải Tây,Sơn Trà,Đà Nẵng,50.0,1,3,2,2,2.65,3
Đỗ Bá,Bắc Mỹ An,Ngũ Hành Sơn,Đà Nẵng,60.0,1,2,2,2,3.39,3
Phan Thanh,Thạc Gián,Thanh Khê,Đà Nẵng,50.0,1,3,2,3,3.2,3
Lê Thị Xuyến,Chính Gián,Thanh Khê,Đà Nẵng,69.0,9,3,2,2,5.6,3
Lương Thế Vinh,An Hải Đông,Sơn Trà,Đà Nẵng,85.0,1,2,1,5,3.09,3
Núi Thành,Hòa Thuận Đông,Hải Châu,Đà Nẵng,42.0,1,3,4,3,2.9,3
Tôn Thất Tùng,Thạc Gián,Thanh Khê,Đà Nẵng,58.0,1,2,2,3,5.49,3
Tiểu La,Hòa Cường Bắc,Hải Châu,Đà Nẵng,70.0,1,2,1,4,2.0,3
Ông Ích Khiêm,Thanh Bình,Hải Châu,Đà Nẵng,150.0,1,4,3,3,3.45,3
Trần Cao Vân,Tam Thuận,Thanh Khê,Đà Nẵng,90.0,1,6,5,2,4.0,3
2 Tháng 9,Hòa Cường Bắc,Hải Châu,Đà Nẵng,70.0,1,2,1,2,3.25,3
Lê Đình Lý,Hòa Thuận Tây,Hải Châu,Đà Nẵng,60.0,1,3,3,3,3.4,3
Đống Đa,Thuận Phước,Hải Châu,Đà Nẵng,50.0,1,3,3,3,3.1,3
Lê Duẩn,Tân Chính,Thanh Khê,Đà Nẵng,40.0,1,2,3,3,2.2,3
Phạm Cự Lượng,An Hải Đông,Sơn Trà,Đà Nẵng,78.0,1,2,2,2,3.3,3
An Trung 3,An Hải Tây,Sơn Trà,Đà Nẵng,60.0,1,2,2,2,3.7,3
Phan Châu Trinh,Phước Ninh,Hải Châu,Đà Nẵng,45.0,1,2,2,4,2.0,3
Hoàng Diệu,Bình Thuận,Hải Châu,Đà Nẵng,53.0,1,3,2,3,3.58,3
Mai Lão Bạng,Thuận Phước,Hải Châu,Đà Nẵng,50.0,1,3,4,4,3.0,3
Ông Ích Khiêm,Thanh Bình,Hải Châu,Đà Nẵng,51.0,1,3,4,3,3.5,3
Trưng Nữ Vương,Bình Thuận,Hải Châu,Đà Nẵng,54.0,1,1,1,2,2.55,3
Huỳnh Tấn Phát,Hòa Cường Bắc,Hải Châu,Đà Nẵng,70.0,1,2,2,2,3.0,3
Đặng Thùy Trâm,Hải Châu 1,Hải Châu,Đà Nẵng,83.0,1,3,2,2,4.25,3
Trường Chinh,Hòa Thọ Tây,Cẩm Lệ,Đà Nẵng,90.0,1,2,1,2,1.5,3
Hoàng Diệu,Bình Thuận,Hải Châu,Đà Nẵng,53.0,1,3,3,3,3.58,3
Hải Phòng,Chính Gián,Thanh Khê,Đà Nẵng,22.0,1,2,2,2,1.8,3
Phan Thanh,Thạc Gián,Thanh Khê,Đà Nẵng,54.0,1,3,3,3,4.36,3
Hoàng Diệu,Bình Thuận,Hải Châu,Đà Nẵng,112.0,1,3,2,2,4.75,3
Lê Độ,Tam Thuận,Thanh Khê,Đà Nẵng,43.0,1,2,2,2,1.95,3
Lê Duẩn,Tân Chính,Thanh Khê,Đà Nẵng,30.0,1,2,2,2,1.79,3
Trần Cao Vân,Tam Thuận,Thanh Khê,Đà Nẵng,24.0,1,1,2,2,1.65,3
Phan Châu Trinh,Phước Ninh,Hải Châu,Đà Nẵng,45.0,1,2,1,4,1.95,3
Phó Đức Chính,Mân Thái,Sơn Trà,Đà Nẵng,84.0,1,2,2,2,2.4,3
Nguyễn Duy Hiệu,An Hải Đông,Sơn Trà,Đà Nẵng,85.0,1,3,2,2,4.5,3
Thái Thị Bôi,Hòa Khê,Thanh Khê,Đà Nẵng,86.0,1,3,2,2,3.13,3
3 Tháng 2,Thuận Phước,Hải Châu,Đà Nẵng,55.0,1,3,3,3,3.2,3
Ông Ích Khiêm,Tân Chính,Thanh Khê,Đà Nẵng,55.0,1,6,6,4,5.0,3
Thi Sách,Hòa Thuận Tây,Hải Châu,Đà Nẵng,89.0,1,3,4,2,4.8,3
Đỗ Quang,Vĩnh Trung,Thanh Khê,Đà Nẵng,48.0,1,3,2,2,2.85,3
Hùng Vương,Vĩnh Trung,Thanh Khê,Đà Nẵng,49.0,1,3,3,3,2.95,3
Cô Giang,Phước Ninh,Hải Châu,Đà Nẵng,35.0,1,4,3,3,2.55,3
Phạm Văn Nghị,Thạc Gián,Thanh Khê,Đà Nẵng,60.0,1,4,3,3,3.15,3
Điện Biên Phủ,Chính Gián,Thanh Khê,Đà Nẵng,44.0,1,3,3,3,3.9,3
Thái Phiên,Phước Ninh,Hải Châu,Đà Nẵng,83.0,1,4,3,3,8.3,3
Đinh Tiên Hoàng,Thanh Bình,Hải Châu,Đà Nẵng,50.0,1,3,3,3,3.85,3
Phạm Văn Nghị,Thạc Gián,Thanh Khê,Đà Nẵng,55.0,1,3,4,3,4.29,3
Ngô Quyền,An Hải Bắc,Sơn Trà,Đà Nẵng,80.0,1,3,2,3,3.999,3
Đống Đa,Thạch Thang,Hải Châu,Đà Nẵng,75.0,1,3,2,2,3.45,3
Nguyễn Phước Nguyên,An Khê,Thanh Khê,Đà Nẵng,54.1,1,3,2,2,2.375,3
Bình Kỳ,Hòa Quý,Ngũ Hành Sơn,Đà Nẵng,100.0,1,1,1,2,1.45,3
Núi Thành,Hòa Cường Bắc,Hải Châu,Đà Nẵng,32.0,1,1,1,2,1.52,3
Mẹ Suốt,Hòa Khánh Nam,Liên Chiểu,Đà Nẵng,92.0,1,3,2,2,2.05,3
Tôn Đản,Hòa An,Cẩm Lệ,Đà Nẵng,55.3,1,2,1,2,2.15,3
Cách Mạng Tháng 8,Hòa Thọ Đông,Cẩm Lệ,Đà Nẵng,80.0,1,2,2,2,2.08,3
Nguyễn Phước Nguyên,An Khê,Thanh Khê,Đà Nẵng,120.0,1,2,2,3,2.93,3
Trần Cao Vân,Xuân Hà,Thanh Khê,Đà Nẵng,25.0,1,2,2,2,1.78,3
Tô Hiệu,Hòa Minh,Liên Chiểu,Đà Nẵng,60.0,1,3,3,2,2.95,3
3 Tháng 2,Thạch Thang,Hải Châu,Đà Nẵng,42.0,1,3,3,2,3.85,3
Lê Độ,Thạc Gián,Thanh Khê,Đà Nẵng,67.0,1,3,3,3,4.28,3
Hoàng Diệu,Bình Hiên,Hải Châu,Đà Nẵng,70.0,1,4,4,2,4.5,3
Dũng Sĩ Thanh Khê,Thanh Khê Tây,Thanh Khê,Đà Nẵng,75.0,1,3,4,3,3.95,3
Lê Vĩnh Huy,Hòa Cường Bắc,Hải Châu,Đà Nẵng,50.0,1,3,3,3,3.53,3
Nguyễn Công Hoan,Hòa An,Cẩm Lệ,Đà Nẵng,65.0,1,2,1,2,1.85,3
Nguyễn Tất Thành,Thanh Bình,Hải Châu,Đà Nẵng,45.0,1,3,2,2,2.95,3
Nguyễn Đức Trung,Tam Thuận,Thanh Khê,Đà Nẵng,80.0,1,4,3,3,3.05,3
Trần Cao Vân,Tam Thuận,Thanh Khê,Đà Nẵng,44.0,1,2,2,2,2.649,3
Lê Duẩn,Tân Chính,Thanh Khê,Đà Nẵng,60.0,1,3,4,3,4.39,3
Lê Thanh Nghị,Hòa Cường Bắc,Hải Châu,Đà Nẵng,68.0,1,3,4,2,3.779,3
Hà Huy Tập,Hòa Khê,Thanh Khê,Đà Nẵng,124.0,1,1,1,3,4.6,3
K3 Nguyễn Thành Hãn,Hòa Thuận Tây,Hải Châu,Đà Nẵng,70.0,1,3,2,3,3.85,3
Trần Cao Vân,Xuân Hà,Thanh Khê,Đà Nẵng,85.0,1,4,2,2,3.0,3
Lê Độ,Chính Gián,Thanh Khê,Đà Nẵng,88.0,1,4,2,2,3.0,3
Lâm Hoành,Phước Mỹ,Sơn Trà,Đà Nẵng,67.0,7,3,2,3,4.1,3
Đinh Tiên Hoàng,Tam Thuận,Thanh Khê,Đà Nẵng,58.0,1,3,3,3,3.549,3
Đinh Tiên Hoàng,Tam Thuận,Thanh Khê,Đà Nẵng,58.0,1,3,2,3,3.55,3
Dương Đình Nghệ,Phước Mỹ,Sơn Trà,Đà Nẵng,120.0,1,19,20,7,14.5,3
Nguyễn Phan Vinh,Thọ Quang,Sơn Trà,Đà Nẵng,90.0,1,4,3,2,5.9,3
Núi Thành,Hòa Cường Nam,Hải Châu,Đà Nẵng,80.0,1,8,8,3,4.2,3
Trần Huy Liệu,Khuê Trung,Cẩm Lệ,Đà Nẵng,63.0,1,2,1,2,2.5,3
Tôn Đản,Hòa Phát,Cẩm Lệ,Đà Nẵng,85.0,1,3,3,2,2.55,3
Tô Hiệu,Hòa Minh,Liên Chiểu,Đà Nẵng,60.0,1,4,4,3,3.4,3
Mẹ Nhu,Thanh Khê Tây,Thanh Khê,Đà Nẵng,115.0,1,3,2,2,2.7,3
Nguyễn Phước Nguyên,An Khê,Thanh Khê,Đà Nẵng,80.0,1,4,4,3,3.98,3
Trưng Nữ Vương,Hòa Cường Bắc,Hải Châu,Đà Nẵng,63.0,1,2,2,2,2.899,3
Phạm Văn Nghị,Thạc Gián,Thanh Khê,Đà Nẵng,70.0,1,5,4,3,2.55,3
